Atlanta Hawks,#01244C,#D21033,,
Boston Celtics,#05854C,#EAEFE9,#FFFFFF,
Charlotte Bobcats,#F26532,#29588B,,
Chicago Bulls,#D4001F,#000000,#FFFFFF,
Cleveland Cavaliers,#9F1425,#003375,#B99D6A,
Dallas Mavericks,#006AB5,#F0F4F7,,
Denver Nuggets,#4393D1,#FBB529,,
Detroit Pistons,#ED174C,#006BB6,,
Golden State Warriors,#002942,#E75E25,#FFC33C,
Houston Rockets,#CC0000,#FFFFFF,,
Indiana Pacers,#002E62,#FFC225,,
Los Angeles Clippers,#EE2944,#146AA2,#FFFFFF,
Los Angeles Lakers,#4A2583,#F5AF1B,,
Memphis Grizzlies,#001B41,#85A2C6,#FFFFFF,
Miami Heat,#B62630,#1E3344,#FF9F00,
Milwaukee Bucks,#00330A,#C82A39,,
Minnesota Timberwolves,#015287,#000000,#EFEFEF,
New Jersey Nets,#002258,#D32E4C,#EFEFF1,
New Orleans Hornets,#0095CA,#1D1060,#FEBB25,
New York Knicks,#2E66B2,#FF5C2B,,
Oklahoma City Thunder,#0075C1,#E7442A,#002553,
Orlando Magic,#077ABD,#C5CED5,#000000,
Philadelphia 76ers,#C5003D,#000000,#C7974D,
Phoenix Suns,#48286C,#FF7A31,#FFBC1E,
Portland Trail Blazers,#000000,#E1393E,#B4BDC3,
San Antonio Spurs,#000000,#BEC8C9,#FFFFFF,
Sacramento Kings,#743389,#DCE2E4,#000000,
Toronto Raptors,#CD1041,#ECEBE9,#000000,
Utah Jazz,#001D4D,#448CCE,#480975,
Washington Wizards,#004874,#BC9B6A,,
